Geographic_Area_Name,GEO_ID_LONG,GEO_ID_SHORT,DIABETES_CASES,EDUCATION_hsdropout,EDUCATION 25 years and over (ASSOCIATE DEGREE),EDUCATION_bachelor,EDUCATION 25 years and over (GRADUATE DEGREE),EDUCATION 25 years and over (HIGH SCHOOL GRAD /W EQUIVALENCY),EDUCATION 25 years and over (SOME COLLEGE NO DEGREE),ECONOMIC Total households (ALL),"ECONOMIC Total households ($10,000 to $14,999)","ECONOMIC Total households ($100,000 to $149,999)","ECONOMIC Total households ($15,000 to $24,999)","ECONOMIC Total households ($150,000 to $199,999)","ECONOMIC Total households ($200,000 or more)","ECONOMIC Total households ($25,000 to $34,999)","ECONOMIC Total households ($35,000 to $49,999)","ECONOMIC Total households ($50,000 to $74,999)","ECONOMIC Total households ($75,000 to $99,999)","ECONOMIC Total households (Less than $10,000)",ECONOMIC_meanincome,ECONOMIC_medianincome,ECONOMIC Total households (Snapincome),HEALTH_Insurance,HEALTH_NoInsurance,RACE (ALL),RACE (LATINO),RACE (AMERICAN INDIAN),RACE (ASIAN),RACE (AFRICAN AMERICAN),RACE (PACIFIC ISLANDER),RACE (OTHER),RACE (2 OR MORE),RACE (WHITE)
"Nevada County, California",0500000US06057,,4941,4665,8203,18019,9671,12973,21118,24711,477,4893,1258,1573,2571,1589,3266,4230,4389,465,106191,80053,2250,6682,91533,99107,9368,490,1742,197,0,1414,3563,91701
"Mendocino County, California",0500000US06045,,5087,5269,5082,9193,4541,15184,17725,20857,1529,2517,1542,702,483,2793,2894,4567,2403,1427,64707,51422,4978,7152,79779,87628,21866,3169,1125,412,231,5887,5602,71202
"Yuba County, California",0500000US06115,,6262,4688,5170,6484,2251,10799,14940,18858,555,3082,1205,1734,166,2389,3327,3416,1716,1268,71886,53950,4873,2982,69950,75275,20931,1046,3656,2331,1376,3971,6853,56042
"Lake County, California",0500000US06033,,6298,4675,5143,4770,2847,11805,15643,14230,639,1237,1220,865,754,1614,2150,3302,1634,815,72920,53156,3451,4052,59444,64116,12800,2815,343,914,0,8582,2169,49293
"Sutter County, California",0500000US06101,,7056,6252,6967,7251,2736,13546,16367,23974,661,3317,2444,1384,1018,2451,3063,5048,3135,1453,78971,58440,5045,8918,86499,96651,29441,653,14849,1672,501,3331,6345,69300
"Napa County, California",0500000US06055,,9299,5699,8942,22392,12430,17316,23215,32419,465,6949,1295,3227,4724,1383,3592,6219,4147,418,122909,94458,2304,5104,135112,142166,48247,1160,11301,2718,269,10439,5336,110943
"Humboldt County, California",0500000US06023,,9337,6924,8845,18584,8436,23705,23560,28646,1233,4006,2152,1181,981,2731,4679,7007,3907,769,72428,57721,7307,9924,125829,136646,15502,7228,4212,1172,0,3154,10085,110795
"Yolo County, California",0500000US06113,,9880,9417,8177,26969,25194,22892,25158,45671,763,7461,2775,4617,6398,2844,4203,8507,6056,2047,111551,82670,6420,11193,203357,215802,68027,1835,30155,5476,836,11635,13930,151935
"Marin County, California",0500000US06041,,10722,3776,9489,65627,46759,19769,35325,65569,1023,10580,2477,9272,22408,3445,4481,6149,5050,684,197523,142090,2593,9521,246470,260651,41727,274,13886,6114,397,25607,13947,200426
"Kings County, California",0500000US06031,,10944,12668,6498,7240,3431,28265,23221,33611,1232,3346,3475,1587,1505,3082,6256,6878,4645,1605,71195,54641,7625,8807,124041,149785,81140,2083,5238,10028,472,25665,6593,99706
"Imperial County, California",0500000US06025,,11427,16748,7165,10437,4725,26038,27360,34950,2692,4667,3842,1150,1226,2927,3748,8077,4794,1827,71098,57130,9354,11778,159894,180883,151497,1808,2731,4122,301,54515,6435,110971
"El Dorado County, California",0500000US06017,,11885,5222,14412,28290,17306,29859,35539,48840,782,10043,2616,5792,6431,2639,5180,7280,7151,926,118310,91109,4543,7119,177285,185625,23699,2379,8904,1795,462,3745,5845,162495
"Madera County, California",0500000US06039,,13287,11722,5805,7455,3884,24199,26843,34099,1179,5012,2999,1902,1259,4468,5249,6056,4276,1699,71500,55588,7560,9085,138051,154697,88801,3262,2748,4535,312,28121,6014,109705
"Santa Cruz County, California",0500000US06087,,14395,6871,14431,41291,31260,28049,41253,60500,1440,12052,3949,6522,9496,3019,4938,9154,8190,1740,122240,92200,8984,12422,260572,274673,92088,1797,13692,2908,43,40674,11586,203973
"Shasta County, California",0500000US06089,,14942,7170,13406,18845,8731,31960,42773,46527,1830,5921,4283,2205,2347,4823,7564,10255,5738,1561,76226,58264,7122,9269,168923,179631,17562,2942,6016,1791,77,1522,8990,158293
"Butte County, California",0500000US06007,,16989,10017,13206,22921,15155,34807,44949,50528,2178,7358,5537,3486,2844,5678,6006,8545,7282,1614,82166,62593,10961,12365,211424,226864,36282,2567,10665,3563,811,9577,11789,187892
"San Luis Obispo County, California",0500000US06079,,17566,8615,21791,43979,24307,35036,48300,67493,672,14146,2536,5880,6715,2968,7467,13111,11960,2038,104338,82368,4596,16032,260390,282887,63172,2262,10989,5167,28,16126,9623,238692
"Placer County, California",0500000US06061,,19102,7848,32410,68899,35242,46015,70830,94315,2312,22936,2080,13479,14886,3843,5892,13401,13074,2412,129050,106221,5036,15178,362489,380531,52567,2292,26369,5796,392,15303,20478,309901
"Merced County, California",0500000US06047,,25586,20093,10386,12890,8452,38469,36917,60046,2676,6897,6171,3415,2352,6233,10106,11461,7405,3330,75822,52241,17534,17395,248491,268672,158200,2522,21156,8492,32,77857,9236,149377
"Monterey County, California",0500000US06053,,25823,24535,23240,40955,27388,52379,49380,90571,1422,14871,7938,6700,7963,7467,11421,17660,12919,2210,96461,69706,8866,39882,380004,435232,253843,1903,24852,11055,1086,135093,18469,242774
"Sonoma County, California",0500000US06097,,28082,21317,35135,77301,44781,66982,92522,119397,1496,25208,4810,13359,13131,5787,11590,21184,19870,2962,112781,87812,12772,28644,469359,503070,133617,4397,21487,8632,1542,71200,24617,371195
"Tulare County, California",0500000US06107,,28369,35771,20282,23766,13153,69771,60106,107163,5382,12848,12101,3183,3359,12487,17850,19810,12378,7765,64984,47906,31184,43333,413469,460437,295148,6233,20506,6167,908,72610,13729,340284
"Santa Barbara County, California",0500000US06083,,28534,17569,21786,51285,38028,47780,62444,96218,2337,16053,5421,7316,10880,7691,13706,17139,13701,1974,104251,74643,11092,41945,397371,446170,201344,4863,24802,8202,94,46374,20094,341741
"Solano County, California",0500000US06095,,33793,20668,31111,53462,22854,70351,86072,110618,3223,21485,5666,11333,10000,8006,11644,18266,16601,4394,101473,80665,15204,23159,404374,440207,115178,1568,66560,64438,3713,46315,38529,219084
"Stanislaus County, California",0500000US06099,,43167,36338,27221,38350,17270,94190,84498,131103,2474,19493,11792,7836,6727,14065,20642,25252,17934,4888,79852,60689,25166,28081,510381,541560,247001,3427,30615,17096,3166,68689,22852,395715
"San Mateo County, California",0500000US06081,,45245,24778,36117,160180,115313,84004,92144,186003,2448,34101,5609,24303,55077,7409,11726,21943,20921,2466,177787,129939,9946,29054,732082,764797,189309,3102,214801,17413,10756,85183,44818,388724
"San Francisco County, California",0500000US06075,,50362,32703,32152,234899,159914,84652,94619,174077,3163,29690,10438,22240,49768,8488,11865,17996,16625,3804,172095,123326,16875,28687,837866,870887,132538,3054,300409,43468,1967,70599,46980,404410
"San Joaquin County, California",0500000US06077,,53374,51513,43342,52282,24752,126697,108211,166267,6206,29424,12538,11024,10893,13635,19858,32577,23181,6931,85908,67163,35884,44135,681740,733709,302152,5428,111547,52126,4697,74430,67529,417952
"Kern County, California",0500000US06029,,56073,68973,39861,59725,27160,144166,122489,197797,8523,26110,20284,10630,8403,20915,26975,34267,27520,14170,73198,54475,50237,61085,794465,884788,467575,11936,40615,47668,3142,106937,32413,642077
"Ventura County, California",0500000US06111,,58437,35936,52014,115645,74784,105220,129581,193342,2750,42691,10157,20914,26503,11310,18867,30935,25162,4053,117966,92027,18734,78652,764478,849738,361514,5746,60772,14929,1787,45523,39866,681115
"Fresno County, California",0500000US06019,,72485,64384,49294,79148,41678,139362,137737,219660,12026,28805,23798,12887,11373,20195,27347,35782,28774,18673,75526,53951,65215,82702,886746,979915,517263,10176,101993,47646,1183,143649,34649,640619
