GEO_ID,NAME,DP05_0071PE,DP05_0038PE,S1501_C02_008E,S1501_C02_007E
1400000US06067000100,"Census Tract 1, Sacramento County, California",9.9,0.7,0.6,1
1400000US06067000200,"Census Tract 2, Sacramento County, California",14.9,0.1,0.9,0.7
1400000US06067000300,"Census Tract 3, Sacramento County, California",12.9,1.3,0.9,0.3
1400000US06067000400,"Census Tract 4, Sacramento County, California",18.2,8.9,1.6,3.1
1400000US06067000500,"Census Tract 5, Sacramento County, California",26.6,7.8,5.1,4.3
1400000US06067000600,"Census Tract 6, Sacramento County, California",24.8,13.4,4.3,10.4
1400000US06067000700,"Census Tract 7, Sacramento County, California",19.2,33.1,17.9,12.5
1400000US06067000800,"Census Tract 8, Sacramento County, California",8.3,9.5,1.6,1.5
1400000US06067001101,"Census Tract 11.01, Sacramento County, California",14,15.3,7.4,2.4
1400000US06067001200,"Census Tract 12, Sacramento County, California",17.4,9.7,2.1,3.5
1400000US06067001300,"Census Tract 13, Sacramento County, California",18.4,8,2.5,1.2
1400000US06067001400,"Census Tract 14, Sacramento County, California",10.1,5.7,4.6,2.6
1400000US06067001500,"Census Tract 15, Sacramento County, California",12.3,3.3,1.1,1.8
1400000US06067001600,"Census Tract 16, Sacramento County, California",21.4,1.3,0.3,0.7
1400000US06067001700,"Census Tract 17, Sacramento County, California",12.9,0.7,5.3,6.6
1400000US06067001800,"Census Tract 18, Sacramento County, California",20.6,13.3,9.3,3.2
1400000US06067001900,"Census Tract 19, Sacramento County, California",20.6,3.7,2.6,3.9
1400000US06067002000,"Census Tract 20, Sacramento County, California",19.2,4,6.9,13.3
1400000US06067002100,"Census Tract 21, Sacramento County, California",16.3,7.3,3.4,10.9
1400000US06067002200,"Census Tract 22, Sacramento County, California",25.1,22,9.2,6.1
1400000US06067002300,"Census Tract 23, Sacramento County, California",19.9,2.1,1.2,0.7
1400000US06067002400,"Census Tract 24, Sacramento County, California",9.4,2.9,0.5,0.9
1400000US06067002500,"Census Tract 25, Sacramento County, California",12.8,3.1,2.6,0.6
1400000US06067002600,"Census Tract 26, Sacramento County, California",13.1,4.7,0.2,3.6
1400000US06067002700,"Census Tract 27, Sacramento County, California",31.5,25.2,9.6,3.5
1400000US06067002800,"Census Tract 28, Sacramento County, California",34.6,28.5,8.5,16.4
1400000US06067002900,"Census Tract 29, Sacramento County, California",26.4,1.7,3.2,6.6
1400000US06067003000,"Census Tract 30, Sacramento County, California",31.4,7.5,6,6.9
1400000US06067003101,"Census Tract 31.01, Sacramento County, California",58.1,3.6,10.6,12.9
1400000US06067003102,"Census Tract 31.02, Sacramento County, California",42.5,9.1,11.1,7
1400000US06067003202,"Census Tract 32.02, Sacramento County, California",32.8,8.6,14.5,18.2
