TRACT,GEO_ID_LONG,GEO_ID_SHORT,TOTAL_POPULATION,EDUCATION 18 to 24 (ALL),EDUCATION 18 to 24 years (BACHELOR DEGREE OR HIGHER),EDUCATION 18 to 24 years (HIGH SCHOOL GRAD OR HIGHER),EDUCATION 18 to 24 years (LESS THAN HIGH SCHOOL),EDUCATION 18 to 24 years (SOME  COLLEGE),EDUCATION 25 years  (ALL),EDUCATION 25 years and over (9-12 GRADE),EDUCATION 25 years and over (ASSOCIATE DEGREE),EDUCATION 25 years and over (BACHELOR DEGREE),EDUCATION 25 years and over (BACHEOR DEGREE OR HIGHER),EDUCATION 25 years and over (GRADUATE DEGREE),EDUCATION 25 years and over (HIGH SCHOOL GRAD /W EQUIVALENCY),EDUCATION 25 years and over (HIGH SCHOOL OR HIGHER),EDUCATION 25 years and over (SOME COLLEGE NO DEGREE),ECONOMIC Total households (ALL),"ECONOMIC Total households ($10,000 to $14,999)","ECONOMIC Total households ($100,000 to $149,999)","ECONOMIC Total households ($15,000 to $24,999)","ECONOMIC Total households ($150,000 to $199,999)","ECONOMIC Total households ($200,000 or more)","ECONOMIC Total households ($25,000 to $34,999)","ECONOMIC Total households ($35,000 to $49,999)","ECONOMIC Total households ($50,000 to $74,999)","ECONOMIC Total households ($75,000 to $99,999)","ECONOMIC Total households (Less than $10,000)",ECONOMIC Total households (Mean household income),ECONOMIC Total households (Medican household income),ECONOMIC Total households (Snapincome),HEALTH Private Coverage (6 to 17),HEALTH Private Coverage (18 to 24),HEALTH Private Coverage (25 TO 34),HEALTH Private Coverage (35 TO 44),HEALTH Private Coverage (45 TO 54),HEALTH Private Coverage (55 TO 64),HEALTH Private Coverage (65 TO 74),HEALTH Private Coverage (75 AND UP),HEALTH Public Coverage (6 to 17),HEALTH Public Coverage (18 to 24),HEALTH Public Coverage (25 TO 34),HEALTH Public Coverage (35 TO 44),HEALTH Public Coverage (45 TO 54),HEALTH Public Coverage (55 TO 64),HEALTH Public Coverage (65 TO 74),HEALTH Public Coverage (75 AND UP),RACE (ALL),RACE (LATINO),RACE (AMERICAN INDIAN),RACE (ASIAN),RACE (AFRICAN AMERICAN),RACE (PACIFIC ISLANDER),RACE (OTHER),RACE (2 OR MORE),RACE (WHITE)
"Census Tract 1, Sacramento County, California",1400000US06067000100,6067000100,3720,173,8,7,0,158,2901,17,192,1046,1832,786,366,2855,465,1731,61,385,40,248,241,88,164,234,192,78,113974,100787,25,423,78,607,387,416,484,278,280,443,100,647,413,483,560,439,323,3815,376,36,78,28,0,11,112,3174
"Census Tract 2, Sacramento County, California",1400000US06067000200,6067000200,3767,90,17,10,12,51,2992,28,206,985,1981,996,273,2942,482,1782,46,410,112,242,353,49,117,168,233,52,132611,107134,30,413,98,471,573,454,676,243,198,421,116,490,601,487,796,296,238,3824,568,0,190,2,0,18,188,2858
"Census Tract 3, Sacramento County, California",1400000US06067000300,6067000300,3085,115,20,37,32,26,2647,24,128,993,2010,1017,162,2615,315,1592,8,412,37,162,329,38,149,228,191,38,136437,115104,34,272,76,317,584,290,568,342,189,280,106,324,630,325,603,373,237,3399,437,27,213,44,88,10,84,2496
"Census Tract 4, Sacramento County, California",1400000US06067000400,6067000400,3974,253,163,39,0,51,3333,52,190,1243,2066,823,304,3177,617,2273,93,401,270,110,151,147,202,459,324,116,82925,67924,129,102,221,1084,416,267,313,155,129,120,351,1495,541,339,448,269,169,3851,699,51,99,307,0,0,227,2468
"Census Tract 5, Sacramento County, California",1400000US06067000500,6067000500,3230,462,215,77,19,151,2388,122,118,770,1155,385,338,2164,553,1748,214,291,166,48,91,92,249,203,234,160,82286,48906,219,74,362,720,237,154,186,49,25,252,506,1221,350,230,291,176,65,3134,833,38,117,237,21,8,141,1739
"Census Tract 6, Sacramento County, California",1400000US06067000600,6067000600,1280,153,62,22,0,69,911,39,101,122,264,142,136,777,276,633,50,39,183,20,24,41,71,67,62,76,51692,30050,19,5,89,225,47,84,53,32,4,107,157,376,95,239,115,74,25,1131,281,0,45,151,3,0,32,619
"Census Tract 7, Sacramento County, California",1400000US06067000700,6067000700,2494,349,5,99,179,66,2255,403,150,211,290,79,605,1570,525,568,241,5,131,9,0,21,15,16,15,115,19817,12387,100,0,6,21,0,25,21,63,10,0,6,21,0,42,76,237,230,2604,499,35,428,858,0,34,80,670
"Census Tract 8, Sacramento County, California",1400000US06067000800,6067000800,1552,90,50,10,0,30,1557,25,103,566,862,296,182,1508,361,1097,83,252,89,122,52,100,63,159,65,112,82266,70029,38,48,58,477,132,128,97,102,134,51,63,529,142,208,173,155,193,1699,141,0,155,153,0,0,56,1194
"Census Tract 11.01, Sacramento County, California",1400000US06067001101,6067001101,2212,198,74,63,0,61,1970,146,141,664,1056,392,250,1776,329,1687,437,246,154,58,143,92,197,136,105,119,77058,38109,196,9,57,407,242,130,218,67,35,78,171,553,407,305,387,179,46,2366,331,40,181,363,0,89,44,1318
"Census Tract 12, Sacramento County, California",1400000US06067001200,6067001200,3187,259,130,42,5,82,2890,62,214,1213,1781,568,183,2728,550,2602,363,298,254,117,93,257,289,414,253,264,60023,45184,158,53,226,922,273,208,211,100,49,80,254,1129,289,335,520,337,139,3314,576,37,174,304,0,0,84,2139
"Census Tract 13, Sacramento County, California",1400000US06067001300,6067001300,3057,406,237,50,0,119,2612,66,157,1000,1572,572,165,2514,620,2077,95,239,124,89,80,245,254,540,246,165,76257,53913,107,50,330,1118,392,116,103,73,39,50,398,1417,538,209,119,133,62,3175,583,35,257,225,25,0,114,1936
"Census Tract 14, Sacramento County, California",1400000US06067001400,6067001400,2453,135,80,0,0,55,2167,99,102,788,1310,522,155,2012,445,1732,190,138,234,24,179,180,259,286,143,99,78517,42292,110,100,173,623,163,195,84,144,123,126,188,822,194,271,245,243,256,2458,249,0,270,129,0,0,101,1709
"Census Tract 15, Sacramento County, California",1400000US06067001500,6067001500,4887,83,17,17,10,39,3949,45,234,1513,2616,1103,299,3832,683,2327,47,604,97,219,374,77,105,287,431,86,115798,101060,28,508,143,843,584,657,513,327,154,530,161,945,736,734,525,515,227,4851,599,0,309,159,0,0,239,3545
"Census Tract 16, Sacramento County, California",1400000US06067001600,6067001600,6029,510,18,261,35,196,4188,13,313,1540,2611,1071,539,4144,681,2564,54,453,172,321,527,118,266,375,214,64,132182,101105,54,632,316,909,813,838,700,331,250,663,408,1110,854,910,789,398,384,5978,1277,0,375,77,0,0,315,3934
"Census Tract 17, Sacramento County, California",1400000US06067001700,6067001700,5593,526,53,22,0,451,4133,217,320,1308,2002,694,423,3642,897,2551,360,509,164,134,161,153,145,314,287,324,77107,59120,116,380,731,1090,577,519,354,228,191,464,852,1163,729,681,517,418,465,5363,693,0,499,40,0,0,236,3895
"Census Tract 18, Sacramento County, California",1400000US06067001800,6067001800,4821,290,17,158,15,100,3939,366,266,1006,1817,811,559,3445,803,2347,102,351,312,183,74,172,337,385,332,99,74825,54702,191,199,112,1012,473,366,383,177,58,423,239,1412,662,547,697,293,84,4846,999,0,556,624,15,0,129,2523
"Census Tract 19, Sacramento County, California",1400000US06067001900,6067001900,3083,370,155,48,23,144,2304,61,193,723,1186,463,260,2153,514,1652,85,198,193,64,102,144,171,441,145,109,73054,55650,71,174,271,812,405,196,177,49,60,260,321,1028,599,272,321,95,83,3044,626,0,243,113,0,10,145,1907
"Census Tract 20, Sacramento County, California",1400000US06067002000,6067002000,2472,240,99,34,7,100,2308,160,201,505,812,307,354,1840,473,1384,58,126,206,39,100,151,152,284,188,80,72968,55698,108,60,164,607,232,51,102,79,43,109,207,858,348,259,302,171,98,2764,530,26,806,110,0,21,201,1070
"Census Tract 21, Sacramento County, California",1400000US06067002100,6067002100,2501,120,36,21,27,36,1783,60,115,468,720,252,168,1528,525,1071,49,156,186,9,25,46,157,207,199,37,65673,57031,51,215,81,504,273,149,119,0,0,330,244,713,316,280,299,110,91,2244,366,0,735,163,0,18,52,910
"Census Tract 22, Sacramento County, California",1400000US06067002200,6067002200,4284,304,0,46,56,202,2851,263,153,599,1070,471,519,2415,673,1850,342,214,211,151,152,136,94,234,94,222,69745,36458,543,250,47,313,267,288,341,142,89,792,317,732,406,450,466,255,160,4920,1236,0,713,930,324,0,291,1426
